64850,ENGL 033,RF141
64851,ENGL 080,SC103
64853,ENGL 102,C101B
64864,ENGL 104,C202
64915,ENGL 001A,SC103
65126,ENGL 001L,SC125
65130,ENGL 086A,SC103
65131,ENGL 321L,SC125
65135,ESL 091,RD312
65218,ESL 322,A4213
65232,ESL 333,C101A
65235,ESL 334,VPA203
65241,ESL 346,RE301
65249,ESL 091L,SC125
65274,ESL 341L,SC125
65292,SPAN 091A,P104A
65296,VIET 091A,C203
65387,AJ 015,PE105
65389,AJ 115,PE105
65391,ART 012,VPA200
65392,ART 013,VPA125F
65393,ART 014,VPA200
65394,ART 024,VPA201
65398,ART 038,VPA201
65400,ART 042,VPA125F
65404,ART 090,RF141
65409,ART 091,RG122
65413,ART 026A,VPA200
65422,COMS 020,C203
65432,COMS 040,C101B
65439,COMS 045,C203
65455,ETH 011,C105
65456,ETH 030,C105
65459,ETH 035,C105
65461,ETH 040,C105
65466,GEOG 010,C105
65476,HIST 040,RF141
65478,HIST 010A,RE311
65479,HIST 017A,C105
65495,JOURN 010,VPA203
65523,PED 039,PE204
65526,PED 043,PE204
65531,PED 053,PE204
65545,PED 022A,PE202
65553,PED 056A,PE202
65554,PHIL 010,C102
65565,PHIL 065,RF141
65590,PSYCH 018,RF241
65592,PSYCH 047,C105
65593,PSYCH 060,C102
65596,PSYCH 092,RE311
65600,PSYCH 096,C105
65603,PSYCH 100,C101B
65645,BIOL 071,S160
65659,CHEM 001A,AD211
65662,CHEM 001B,AD211
65662,CHEM 001B,AD221
65663,CHEM 012A,AF231
65665,CHEM 015,A2211
65665,CHEM 015,AF231
65670,CHEM 030A,A2211
65670,CHEM 030A,AD211
65676,CHEM 030B,AD211
65676,CHEM 030B,AD221
65696,MATH 011A,C103
65738,MATH 021,S160
65739,MATH 022,RD301
65745,MATH 061,AD211
65746,MATH 062,RD301
65748,MATH 063,AF231
65762,MATH 071,S160
65768,MATH 073,RD301
65778,MATH 311,C104
65784,ASTRO 010,S140
65796,PHYS 002B,A4231
65797,PHYS 004A,S140
65799,PHYS 004B,A4231
65802,ACCTG 020,RG248
65811,ACCTG 022,RG248
65812,ACCTG 030,RF234
65815,ACCTG 097,RG248
65828,BIS 107,RF234
65839,BUS 065,RF141
65870,CIT 010,RF234
65875,CIT 020,RF241
65880,CIT 042,RF241
65904,CIT 050,RF241
65909,COMSC 076,RF234
65926,LA 033,C101A
65931,LA 050,RE301
65932,LA 072,C101A
66060,COUNS 015,C105
66872,NURS 003,S140
67015,BUS 009,RE301
67074,MATH 111,C103
67095,ANTH 063,C105
